user_id,status_id,created_at,text,source
8.78E+17,1.25E+18,2020-04-24T16:36:12Z,"@donna_cooney1 @dublincycling @cyclistie Amazing Donna, thank you!",Twitter Web App
8.78E+17,1.25E+18,2020-04-24T15:48:52Z,@donna_cooney1 @dublincycling @cyclistie Thank you Donna. Do we know how far along Nassau St it will go?,Twitter for Android
8.78E+17,1.25E+18,2020-04-25T18:20:19Z,@eoinkellyphoto Whereabouts?,Twitter for Android
8.78E+17,1.25E+18,2020-04-24T20:54:11Z,@PMurphyD18 @dublincycling @cyclistie @SafeCyclingEire @PlasticPlanners @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling Why thank you.,Twitter for Android
8.78E+17,1.25E+18,2020-04-23T09:41:26Z,"@AlistairMcCay @DvSchneid Oh twas just a joke. No matter how straightforward it is, it can get overcomplicated by those who wish it so. Irish LAs have even less power than UK ones, but some of the changes are temporary infrastructure. https://t.co/owl2jwS2Oe",Twitter for Android
8.78E+17,1.25E+18,2020-04-24T20:19:27Z,@thejetset @DCCTraffic @dlrcc They managed to hook the displays to the Twitter account.,Twitter for Android
8.78E+17,1.25E+18,2020-04-23T22:52:28Z,"@StuYeslan If he did, he'd be on the big Whatsapp group where we all agree how to behave so that nobody gives the tightly-knit 100,000-strong cycling community a bad name.",Twitter Web App
8.78E+17,1.25E+18,2020-04-25T17:57:39Z,@AlanDub13 @dublincycling 😠😠😠😠 I guess you are still entitled to report to Traffic Watch even if you're not the aggrieved party?,Twitter for Android
8.78E+17,1.25E+18,2020-04-24T16:38:17Z,Clarity from Cllr Cooney on the plans for the Nassau Street contraflow cycle lane. Works starting next week. https://t.co/nBVAjZZW4y,Twitter Web App
8.78E+17,1.25E+18,2020-04-23T09:41:56Z,@theapplefarmer That's ok though https://t.co/xeG2wKvvzK,Twitter for Android
8.78E+17,1.25E+18,2020-04-25T08:48:09Z,Health Warning: do not inject or ingest your bicycles.,Twitter for Android
8.78E+17,1.25E+18,2020-04-26T00:16:51Z,"@PlasticPlanners @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling Yep no ""road tax"" here either. Just motor tax based on emissions.

Btw, E̶i̶r̶e̶ Ireland.",Twitter for Android
8.78E+17,1.25E+18,2020-04-23T16:08:06Z,"Giulina was the subject of a hit and run by a dangerous driver yesterday at the Harold's Cross bridge. Please look out for each other, please.

Drivers: this behaviour has to stop.
Gardai: get serious.
Politicians and councils: fulfil your duty of care. https://t.co/JwK3Lo2ZRX",Twitter for Android
8.78E+17,1.25E+18,2020-04-24T14:22:24Z,"Sign of failure?

This is the definition of success. For an individual, for transport planners, for government policy that enables safe cycling for people of all ages. https://t.co/2Z62ERHZUN",Twitter for Android
8.78E+17,1.25E+18,2020-04-25T18:35:55Z,@Dub14Blockers How about #FreeTheCycleLanes,Twitter for Android
8.78E+17,1.25E+18,2020-04-22T13:54:31Z,"Can we please keep an eye out for Sorcha's bike?

Also, if you can help Sorcha with a spare bike you'd be helping out a journalist that has always covered cycling safety issues with compassion.

There's no replacement for the hole a stolen bike leaves in your heart though 😭 https://t.co/WEkzAS4xDa",Twitter for Android
8.78E+17,1.25E+18,2020-04-23T16:38:27Z,"@novoRAIpid @dublinbusnews 3) Make a formal complaint to Dublin Bus but inform them that you have also reported to the Gardai.

This driver cannot be sharing the road with people on bikes.",Twitter for Android
8.78E+17,1.25E+18,2020-04-25T18:01:40Z,This is a @laura_laker stan account. https://t.co/8CAsCPcOeF,Twitter for Android
8.78E+17,1.25E+18,2020-04-24T18:36:54Z,Deep fake video technology is advancing well. This just simply is not possible to do overnight. https://t.co/MJfaR4m4Q5,Twitter for Android
8.78E+17,1.25E+18,2020-04-23T23:42:02Z,@adamkanee Hope you and the bike recover!,Twitter for Android
8.78E+17,1.25E+18,2020-04-23T19:45:11Z,"Good compliance with social distancing on Dublin's new* cycle superhighway this afternoon.

All cyclers were undertaking essential journeys and exercising, enjoying some healthy vitamin D to help fight the virus.

Road tax paid was equivalent to that paid by passing motorists. https://t.co/Urhpd9qDv2",Twitter for Android
8.78E+17,1.25E+18,2020-04-25T09:32:03Z,Have any elected officials inside the Pale had such 💡 moments over the last few weeks? https://t.co/XIjgaeRiE6,Twitter for Android
8.78E+17,1.25E+18,2020-04-24T20:17:38Z,@ArranBolger Can we have this confirmed by someone who knows physics?,Twitter for Android
8.78E+17,1.25E+18,2020-04-25T00:51:50Z,@barraob1 @TenMajor10 @PlasticPlanners @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling To clarify: the joke was that motorists pay equivalent road tax to cyclists. They pay equivalent road tax to the birds in the trees too.,Twitter for Android
8.78E+17,1.25E+18,2020-04-25T13:54:49Z,@HugoFitzpatrick @DublinCommuters What's more important to our society?,Twitter for Android
8.78E+17,1.25E+18,2020-04-25T16:39:53Z,@io_eof No. Don't blend the pedals.,Twitter for Android
8.78E+17,1.25E+18,2020-04-21T15:41:25Z,"That great article about plans in Milan? It's the work of our friend @laura_laker. Give her a follow there - her journalism is the best of the best.

Here she is getting up close and personal with Dublin traffic last year as we accompanied her back to the ferry! https://t.co/Yoab5fuZwp https://t.co/jDb8f2JLUc",Twitter for Android
